downsample	seed	iteration	class	precision	recall	f1_score	selection strategy
# ---- 1% Training Data: Base Model (seed 42) ----
1.00	8	0	Kill	0.898	0.9362	0.9167	NULL
1.00	8	0	Live_In	0.7315	0.79	0.7596	NULL
1.00	8	0	Located_In	0.8533	0.6809	0.7574	NULL
1.00	8	0	OrgBased_In	0.7895	0.7143	0.75	NULL
1.00	8	0	Work_For	0.8846	0.9079	0.8961	NULL
1.00	8	0	macro avg	0.8314	0.8058	0.816	NULL
1.00	8	0	micro avg	0.8173	0.7844	0.8005	NULL
# ---- 100% Training Data: Self-Training Model (prediction confidence)  ----
# Seed: 8
1.00	8	1	Kill	0.9167	0.9362	0.9263	prediction confidence
1.00	8	1	Live_In	0.8119	0.82	0.8159	prediction confidence
1.00	8	1	Located_In	0.8133	0.6489	0.7219	prediction confidence
1.00	8	1	OrgBased_In	0.8488	0.6952	0.7644	prediction confidence
1.00	8	1	Work_For	0.8642	0.9211	0.8917	prediction confidence
1.00	8	1	macro avg	0.851	0.8043	0.824	prediction confidence
1.00	8	1	micro avg	0.844	0.782	0.8118	prediction confidence
# Seed: 2
1.00	2	1	Kill	0.9167	0.9362	0.9263	prediction confidence
1.00	2	1	Live_In	0.7672	0.89	0.8241	prediction confidence
1.00	2	1	Located_In	0.8182	0.6702	0.7368	prediction confidence
1.00	2	1	OrgBased_In	0.8961	0.6571	0.7582	prediction confidence
1.00	2	1	Work_For	0.8846	0.9079	0.8961	prediction confidence
1.00	2	1	macro avg	0.8566	0.8123	0.8283	prediction confidence
1.00	2	1	micro avg	0.8434	0.7915	0.8166	prediction confidence
# Seed: 7
#	Iteration: 1
1.00	7	1	Kill	0.9362	0.9362	0.9362	prediction confidence
1.00	7	1	Live_In	0.7355	0.89	0.8054	prediction confidence
1.00	7	1	Located_In	0.7419	0.734	0.738	prediction confidence
1.00	7	1	OrgBased_In	0.781	0.781	0.781	prediction confidence
1.00	7	1	Work_For	0.8889	0.9474	0.9172	prediction confidence
1.00	7	1	macro avg	0.8167	0.8577	0.8355	prediction confidence
1.00	7	1	micro avg	0.7964	0.8436	0.8193	prediction confidence
#	Iteration 2:
1.00	7	2	Kill	0.8776	0.9149	0.8958	prediction confidence
1.00	7	2	Live_In	0.8125	0.78	0.7959	prediction confidence
1.00	7	2	Located_In	0.8023	0.734	0.7667	prediction confidence
1.00	7	2	OrgBased_In	0.8675	0.6857	0.766	prediction confidence
1.00	7	2	Work_For	0.9403	0.8289	0.8811	prediction confidence
1.00	7	2	macro avg	0.86	0.7887	0.8211	prediction confidence
1.00	7	2	micro avg	0.853	0.7701	0.8095	prediction confidence
#	Iteration 3:
1.00	7	3	Kill	0.898	0.9362	0.9167	prediction confidence
1.00	7	3	Live_In	0.7961	0.82	0.8079	prediction confidence
1.00	7	3	Located_In	0.7444	0.7128	0.7283	prediction confidence
1.00	7	3	OrgBased_In	0.8	0.6857	0.7385	prediction confidence
1.00	7	3	Work_For	0.9324	0.9079	0.92	prediction confidence
1.00	7	3	macro avg	0.8342	0.8125	0.8223	prediction confidence
1.00	7	3	micro avg	0.8227	0.7915	0.8068	prediction confidence
# Seed: 13
1.00	13	1	Kill	0.913	0.8936	0.9032	prediction confidence
1.00	13	1	Live_In	0.78	0.78	0.78	prediction confidence
1.00	13	1	Located_In	0.8592	0.6489	0.7394	prediction confidence
1.00	13	1	OrgBased_In	0.8929	0.7143	0.7937	prediction confidence
1.00	13	1	Work_For	0.8816	0.8816	0.8816	prediction confidence
1.00	13	1	macro avg	0.8653	0.7837	0.8196	prediction confidence
1.00	13	1	micro avg	0.8568	0.7654	0.8085	prediction confidence
# ---- 100% Training Data: Self-Training Model (entropy)  ----
# Seed: 8
1.00	8	1	Kill	0.9111	0.8723	0.8913	entropy
1.00	8	1	Live_In	0.713	0.77	0.7404	entropy
1.00	8	1	Located_In	0.9153	0.5745	0.7059	entropy
1.00	8	1	OrgBased_In	0.7732	0.7143	0.7426	entropy
1.00	8	1	Work_For	0.8118	0.9079	0.8571	entropy
1.00	8	1	macro avg	0.8249	0.7678	0.7875	entropy
1.00	8	1	micro avg	0.802	0.7488	0.7745	entropy
# Seed: 2
1.00	2	1	Kill	0.9167	0.9362	0.9263	entropy
1.00	2	1	Live_In	0.7615	0.83	0.7943	entropy
1.00	2	1	Located_In	0.8514	0.6702	0.75	entropy
1.00	2	1	OrgBased_In	0.7957	0.7048	0.7475	entropy
1.00	2	1	Work_For	0.8333	0.8553	0.8442	entropy
1.00	2	1	macro avg	0.8317	0.7993	0.8124	entropy
1.00	2	1	micro avg	0.8184	0.7796	0.7985	entropy
# Seed: 7
#	Iteration 1:
1.00	7	1	Kill	0.9362	0.9362	0.9362	entropy
1.00	7	1	Live_In	0.8	0.84	0.8195	entropy
1.00	7	1	Located_In	0.8	0.7234	0.7598	entropy
1.00	7	1	OrgBased_In	0.8276	0.6857	0.75	entropy
1.00	7	1	Work_For	0.88	0.8684	0.8742	entropy
1.00	7	1	macro avg	0.8488	0.8107	0.8279	entropy
1.00	7	1	micro avg	0.8371	0.7915	0.8136	entropy
#	Iteration 2:
1.00	7	2	Kill	0.875	0.8936	0.8842	entropy
1.00	7	2	Live_In	0.802	0.81	0.806	entropy
1.00	7	2	Located_In	0.7556	0.7234	0.7391	entropy
1.00	7	2	OrgBased_In	0.8261	0.7238	0.7716	entropy
1.00	7	2	Work_For	0.766	0.9474	0.8471	entropy
1.00	7	2	macro avg	0.8049	0.8196	0.8096	entropy
1.00	7	2	micro avg	0.7976	0.8033	0.8005	entropy
#	Iteration 3:
